start,end,district
1000,1399,Dhaka
1400,1499,Narayanganj
1500,1599,Munshiganj
1600,1699,Narsingdi
1700,1799,Gazipur
1800,1899,Manikganj
1900,1999,Tangail
2300,2399,Kishoreganj
2000,2099,Jamalpur
2100,2199,Sherpur
2200,2299,Mymensingh
2400,2499,Netrokona
3000,3099,Sunamganj
3100,3199,Sylhet
3200,3299,Moulvibazar
3300,3399,Habiganj
3400,3499,Brahmanbaria
3500,3599,Cumilla
3600,3699,Chandpur
3700,3799,Lakshmipur
3800,3899,Noakhali
3900,3999,Feni
4000,4399,Chittagong
4400,4499,Khagrachhari
4500,4599,Rangamati
4600,4699,Bandarban
4700,4799,Cox's Bazar
5000,5099,Panchagarh
5100,5199,Thakurgaon
5200,5299,Dinajpur
5300,5399,Nilphamari
5400,5499,Rangpur
5500,5599,Lalmonirhat
5600,5699,Kurigram
5700,5799,Gaibandha
5800,5899,Bogura
5900,5999,Joypurhat
6000,6299,Rajshahi
6300,6399,Chapai Nawabganj
6400,6499,Natore
6500,6599,Naogaon
6600,6699,Pabna
6700,6799,Sirajganj
7000,7099,Kushtia
7100,7199,Meherpur
7200,7299,Chuadanga
7300,7399,Jhenaidah
7400,7499,Jashore
7500,7599,Narail
7600,7699,Magura
9000,9299,Khulna
9300,9399,Bagerhat
9400,9499,Satkhira
8200,8299,Barisal
8300,8399,Bhola
8400,8499,Jhalokati
8500,8599,Pirojpur
8600,8699,Patuakhali
8700,8799,Barguna
